,cleanProbs,noisyProbs
0,0.140625,0.027415773226344014
1,0.046875,0.006004147672927587
2,0.046875,0.0837780316996159
3,0.140625,0.011712037635708555
4,0.046875,0.10202729712873497
5,0.015625,0.0009633942820916272
6,0.015625,0.09410718149427758
7,0.046875,0.0912749286980865
8,0.046875,0.05583017249032331
9,0.015625,0.028964534879373633
10,0.015625,0.11383568162913961
11,0.046875,0.07781574227558764
12,0.140625,0.019907198070541553
13,0.046875,0.08611535078047093
14,0.046875,0.08748755757599011
15,0.140625,0.11276097046078647
