,cleanProbs,noisyProbs
0,0.140625,0.03341155747861006
1,0.046875,0.08696327821691385
2,0.046875,0.060479153485247045
3,0.140625,0.10402039618831593
4,0.046875,0.12242829797087941
5,0.015625,0.08564414817447602
6,0.015625,0.033671472001148305
7,0.046875,0.06504470835242121
8,0.046875,0.07412953199181094
9,0.015625,0.043527557248959965
10,0.015625,0.07357748515170659
11,0.046875,0.0363376812057402
12,0.140625,0.06658642114659083
13,0.046875,0.016866236503143204
14,0.046875,0.07758074117788064
15,0.140625,0.019731333706155808
