,cleanProbs,noisyProbs
0,0.140625,0.06483823660575687
1,0.046875,0.040279181371666466
2,0.046875,0.11768950119559488
3,0.140625,0.020723053518402212
4,0.046875,0.11876165406058317
5,0.015625,0.06830248291734993
6,0.015625,0.04874519185006486
7,0.046875,0.03256963222365248
8,0.046875,0.05616528677090044
9,0.015625,0.007342703977675738
10,0.015625,0.05670739493949365
11,0.046875,0.04070304545640985
12,0.140625,0.11419689335669488
13,0.046875,0.0891581489819034
14,0.046875,0.05947635645698996
15,0.140625,0.06434123631686138
