,cleanProbs,noisyProbs
0,0.140625,0.09021848363546436
1,0.046875,0.0867972506285183
2,0.046875,0.05310666982613018
3,0.140625,0.06868688124944775
4,0.046875,0.0770947941206634
5,0.015625,0.06924106345546857
6,0.015625,0.08949782240018259
7,0.046875,0.0049651454920902486
8,0.046875,0.0673202330260133
9,0.015625,0.04651954713494804
10,0.015625,0.07489367596764562
11,0.046875,0.07622452417149041
12,0.140625,0.08176657768809949
13,0.046875,0.08203194725329938
14,0.046875,0.018456991011678234
15,0.140625,0.013178392938860067
